lat,lgn,city
24.05844,-98.37333,Abasolo
17.78306,-95.54556,Abasolo del Valle
20.44997,-101.53073,Abasolo
14.88194,-92.18444,2da. Sección de Medio Monte
15.34094,-92.67559,Acacoyahua
16.55514,-92.80758,Acala
19.95518,-99.84289,Acambay
20.03024,-100.72249,Acámbaro
18.56216,-99.57206,Acamixtla
19.10412,-97.95104,Acajete
20.81269,-89.45295,Acanceh
15.28184,-92.69032,Acapeteahua
22.49396,-105.36369,Acaponeta
16.86336,-99.8901,Acapulco de Juárez
16.7375,-98.4275,Acatepec
20.77995,-102.91056,Acatic
18.53973,-96.60568,Acatlán de Pérez Figueroa
18.98036,-97.78473,Acatzingo de Hidalgo
18.2025,-98.04864,Acatlán de Osorio
20.02639,-98.84097,Acayuca
20.15789,-98.20172,Acaxochitlán
17.94885,-94.91399,Acayucan
18.95796,-97.80337,Actipan
19.62375,-98.92407,Acolman
19.50427,-96.61668,Actopan
20.26961,-98.94377,Actopan
19.03701,-98.38493,Acuexcomac
19.49585,-101.33321,Acuítzio del Canje
18.71894,-97.30367,Acultzingo
28.46667,-107.3,Adolfo López Mateos
24.89639,-107.63278,Adolfo López Mateos (El Tamarindo)
18.13909,-94.14527,Agua Dulce
25.75,-108.75,Adolfo Ruíz Cortínes
31.33071,-109.54876,Agua Prieta
18.81361,-97.19833,Agrícola Lázaro Cárdenas
20.36337,-97.29315,"Agua Dulce, Veracruz"
22.89339,-105.97479,Agua Verde
21.88234,-102.28259,Aguascalientes
18.73742,-102.78934,Aguililla
25.91985,-109.1732,Ahome
17.81083,-95.015,Aguilera
21.05405,-104.48398,Ahuacatlán
22.40019,-101.16614,Ahualulco
20.70137,-103.97461,Ahualulco de Mercado
18.37831,-97.25767,Ajalpan
20.0917,-99.12246,Ajacuba
20.30325,-103.25476,Ajijic
20.70713,-100.02008,Ajuchitlán
18.15189,-100.48353,Ajuchitlán del Progreso
27.02326,-108.9344,Alamos
20.26547,-89.34787,Akil
20.91063,-97.67485,Álamo
19.66194,-99.06889,Alborada Jaltenco
22.92157,-98.07519,Aldama
20.81564,-101.31527,Aldama
26.06528,-109.01972,Alfonso G. Calderón (Poblado Siete)
21.08776,-86.84706,Alfredo V. Bonfil
25.37806,-108.13028,Alhuey
19.09933,-97.52973,Aljojuca
28.34124,-100.85111,"Allende, Coahuila"
25.85139,-100.38278,Alianza Real
25.27673,-100.01442,"Allende, Nuevo León"
18.15514,-94.39289,Allende
19.14243,-98.23749,Almecatla
19.70435,-98.40379,Almoloya
19.16046,-99.4874,Almoloya del Río
18.97309,-100.13335,Almoloya de las Granadas
17.67301,-98.50968,Alpoyeca
18.74126,-99.25943,Alpuyeca
16.88333,-92.15,Altamirano
22.39215,-97.93867,Altamira
30.71626,-111.83653,Altar
18.36886,-97.29832,Altepexi
20.95361,-97.44194,Alto Lucero
19.62442,-96.73409,Alto Lucero
19.76613,-97.24514,Altotonga
14.92231,-92.37813,Álvaro Obregón
19.82376,-101.04001,Álvaro Obregón
18.59861,-99.36944,Amacuzac
19.31667,-100.01667,Amanalco de Becerra
17.37429,-92.81893,Amatán
16.52722,-92.43472,Amatenango del Valle
20.83441,-103.73015,Amatitán
20.80699,-104.40408,Amatlán de Cañas
18.84575,-96.91494,Amatlán de los Reyes
18.72371,-98.79746,Amayuca
19.34661,-98.17057,Amaxac de Guerrero
20.18758,-100.14485,Amealco
20.70339,-100.26511,Amazcala
20.54629,-104.04508,Ameca
28.38333,-105.61667,Ampliación Colonia Lázaro Cárdenas
19.12384,-98.76649,Amecameca
19.04611,-98.045,Amozoc de Mota
18.29361,-100.63972,Amuco de la Reforma
18.0183,-92.98992,Anacleto Canabal 3ra. Sección
19.61639,-99.14722,Ampliación San Mateo (Colonia Solidaridad)
17.97556,-93.02417,Anacleto Canabal 2da. Sección
27.24056,-100.13222,Anáhuac
22.20275,-97.85506,Anahuac
28.48396,-106.7472,"Anáhuac, Chihuahua"
18.76891,-98.98841,Anenecuilco
19.26444,-98.50028,Analco de Ponciano Arriaga (Santa Cruz Analco)
15.87314,-92.72437,Angel Albino Corzo
19.5479,-102.22563,Angahuán
20.14902,-101.71126,Angamacutiro de la Unión
25.36586,-108.16107,Angostura
18.59601,-95.4458,Angel R. Cabadas
22.5495,-99.08123,Antiguo Morelos
19.05962,-95.99272,Antón Lizardo
20.8,-104.01667,Antonio Escobedo
19.01451,-102.20432,Antúnez
19.01278,-102.20389,Antúnez (Morelos)
19.71128,-98.45086,Apan
20.45748,-100.6224,Apaseo el Alto
20.54495,-100.68462,Apaseo el Grande
19.08864,-102.35704,Apatzingán
18.13127,-99.93255,Apaxtla de Castrejón
19.97512,-99.17112,Apaxco de Ocampo
19.33622,-98.17912,Apetatitlán Antonio Carbajal
19.41333,-98.14358,Apizaco
21.46952,-103.09076,Apozol
25.75976,-100.16287,Apodaca
17.78333,-92.28333,Aquiles Serdán
17.80556,-92.48972,Aquiles Serdán (San Fernando)
20.70519,-102.34635,Arandas
18.31847,-100.28148,Arcelia
21.96361,-102.30194,Arboledas Paso Blanco [Fraccionamiento]
19.81583,-99.04417,Arbolada los Sauces
18.20139,-93.36694,Arena 1ra. Sección
20.77512,-103.69304,Arenal
19.38111,-98.94278,Arenal
20.02618,-102.34758,Ario de Rayón
19.209,-101.70743,Ario de Rosales
18.9378,-103.96417,Armeria
16.2375,-93.90184,Arriaga
20.53667,-97.41528,Arroyo del Maíz Uno
25.44528,-100.84667,Arteaga
18.35779,-102.29122,Arteaga
31.1,-107.98333,Ascención
22.23836,-102.0894,Asientos
16.50315,-95.06121,Asunción Ixtaltepec
17.45916,-97.22605,Asunción Nochixtlán
18.50967,-98.60911,Atencingo
16.76195,-96.72137,Asunción Ocotlán
20.06444,-102.23861,Atecucario de la Constitución (Atecuario)
20.17526,-99.32714,Atengo
19.83945,-97.45855,Atempan
20.39006,-103.14065,Atequiza
20.05964,-99.22163,Atitalaquia
19.46882,-98.14716,Atexcatzingo
19.25,-99.55,Atizapán
19.80038,-99.87376,Atlacomulco
18.93537,-98.89797,Atlatlahucan
17.65166,-99.37519,Atliaca
19.02188,-98.77859,Atlautla
18.90815,-98.43613,Atlixco
19.43171,-97.79609,Atltzayanca de Hidalgo
19.43111,-97.79556,Atlzayanca
20.28632,-98.6685,Atotonilco el Grande
19.855,-97.35361,Atoluca
20.55079,-102.50942,Atotonilco el Alto
20.0097,-103.51652,Atoyac
17.20667,-100.43306,Atoyac de Álvarez
20.39287,-103.12356,Atotonilquillo
18.82198,-97.91446,Atoyatempan
18.90675,-97.08377,Atzacán
19.97972,-97.96861,Atzingo (La Cumbre)
18.89899,-97.32463,Atzitzintla
19.76822,-104.36664,Autlán de Navarro
19.72487,-98.75763,Axapusco
18.50307,-98.75219,Axochiapan
18.2241,-93.11158,Ayapa
19.69417,-99.23944,Axotlán
19.12692,-98.79988,Ayapango
16.6837,-96.84287,Ayoquezco de Aldama
17.67332,-96.12879,Ayotzintepec
18.54654,-98.50499,Ayutla
20.12907,-104.34355,Ayutla
16.96376,-99.09616,Ayutla de los Libres
19.48698,-99.18594,Azcapotzalco
16.73314,-98.60166,Azoyú
18.68109,-88.39333,Bacalar
26.98278,-109.65194,Bacobampo
21.10874,-89.39866,Baca
25.36525,-107.55083,Badiraguato
27.55142,-110.0833,Bácum
25.87417,-109.11778,Bagojo Colectivo
28.82278,-111.94083,Bahía de Kino
27.35167,-110.45472,Bahía de Lobos
16.96086,-99.97169,Bajos del Ejido
17.80702,-91.53744,Balancán de Domínguez
16.50864,-98.73216,Barra de Tecoanapa
19.76861,-99.67694,Barrio Cuarto (La Loma)
19.56528,-99.75,Barrio de San Pedro la Cabecera
19.58893,-96.93727,Banderilla
19.2825,-99.82833,Barrio de México
19.56417,-99.77333,Barrio San Joaquín el Junco
20.44172,-90.02738,Becal
17.78891,-92.61294,Belén
19.35139,-99.66278,Barrio Santa Cruz
19.73917,-99.19167,Barrio Tlatenco
19.34694,-98.19,Belén Atzitzimititlán
16.51599,-90.65371,Benemérito de las Américas
20.43408,-103.63742,Bellavista
18.11944,-96.00194,Benemérito Juárez
31.67111,-116.51139,Benito García (El Zorrillo)
20.88635,-98.20594,Benito Juárez
19.37492,-97.9103,Benito Juárez
29.74624,-107.93966,Benito Juárez
19.3984,-99.15766,Benito Juarez
19.23333,-100.46667,Benito Juárez
30.16904,-111.11403,Benjamin Hill
25.88682,-103.62069,Bermejillo
16.79853,-93.27163,Berriozábal
16.99625,-92.89218,Bochil
19.15451,-96.8327,Boca del Monte
19.1,-96.1,Boca del Río
18.01611,-92.95806,Bosque de Saloya
19.35778,-98.9475,Bosques de la Magdalena
14.53588,-92.22414,Brisas Barra de Suchiate
15.83694,-97.04194,Brisas de Zicatela
20.26856,-102.56208,Briseñas
20.75626,-105.33438,Bucerías
21.20303,-88.79271,Buctzotz
18.14417,-92.74972,Buena Vista 1ra. Sección
19.21281,-102.58735,Buena Vista Tomatlán
29.8432,-107.46067,Buenaventura
17.91667,-92.53333,Buenavista
18.46,-99.40848,Buenavista de Cuéllar
19.60833,-99.16944,Buenavista
19.07499,-102.17999,Buenos Aires
26.53333,-100.5,Bustamante
17.96833,-93.50139,C-32 (Licenciado Francisco Trujillo Gurría)
18.02444,-102.28583,Buenos Aires
17.92306,-93.44806,C-41 (Licenciado Carlos A. Madrazo)
22.89088,-109.91238,Cabo San Lucas
19.37167,-96.38278,Cabezas
14.99201,-92.16376,Cacahoatán
20.98358,-89.22686,Cacalchen
19.25311,-99.70623,Cacalomacan
18.78747,-98.48614,Cacaloxúchitl
20.69779,-99.81535,Cadereyta de Montes
25.58333,-99.98333,"Cadereyta Jiménez, Nuevo León"
18.29364,-97.16419,Caipan
20.43174,-103.3094,Cajititlán
18.55719,-88.2548,Calderitas
19.83278,-97.42111,Cala Sur
18.85833,-99.18194,Calera Chica
19.33651,-99.68923,Calixtlahuaca
19.16324,-99.6181,Calimaya de Díaz González
20.36905,-90.05119,Calkiní
20.89687,-98.58511,Calnali
18.63609,-98.63444,Calmeca
19.58867,-98.56972,Calpulalpan
21.84583,-102.71849,Calvillo
18.8849,-97.81737,Caltenco
30.84222,-116.06328,Camalú
26.25457,-98.84353,Camargo
19.83803,-90.5277,Campeche
21.21,-89.65778,Campestre Flamboyanes
20.81778,-103.45167,Campestre las Palomas [Fraccionamiento]
20.10167,-98.70722,Campestre Villas del Álamo
19.775,-101.12917,Campestre Tarímbaro
27.45,-110.1,Campo Sesenta
24.52576,-104.77327,Canatlán
16.91667,-92.48333,Cancuc
30.98699,-110.29062,Cananea
21.17429,-86.84656,Cancún
23.60371,-102.72704,Cañitas de Felipe Pescador
21.15749,-89.10131,Cansahcab
19.54741,-102.05184,Capácuaro
20.82739,-102.59185,Capilla de Guadalupe
19.01966,-101.12494,Carácuaro
19.7,-101.8,Capula
22.00144,-99.64247,"Cardenas, San Luis Potosí"
18.80639,-97.02722,Capoluca
19.19354,-99.46585,Capulhuac
18.00135,-93.37559,"Cárdenas, Tabasco"
18.37477,-95.75444,Carlos A. Carrillo
17.08083,-92.8025,Carmen Zacatal
30.38269,-107.95628,Casas Grandes
19.04222,-98.11889,Casa Blanca
19.6052,-104.43433,Casimiro Castillo
26.78932,-101.43211,Castaños
18.42131,-95.11398,Catemaco
17.725,-92.01417,Catazajá
20.75005,-97.63161,Castillo de Teayo
21.01539,-89.70347,Caucel
20.7037,-97.30978,Cazones de Herrera
26.5258,-104.1295,Ceballos
20.06359,-97.60688,Caxhuacan
20.52353,-100.8157,Celaya
20.85973,-90.39902,Celestún
20.96621,-88.60438,Cenotillo
20.55444,-103.19361,Centro de Readaptación Social
20.506,-90.10979,Cepeda
21.135,-101.74972,Centro Familiar la Soledad
25.87806,-108.90139,Cerrillos (Campo 35)
20.10877,-101.3871,Cerano
32.48417,-116.25056,Cereso del Hongo
22.42835,-100.28474,Cerritos
20.59294,-101.12684,Cerro Gordo
18.30528,-95.84167,Chacaltianguis
21.192,-97.74088,Cerro Azul
16.3,-94.18333,Chahuite
19.18333,-99.81667,Cerro La Calera
23.47498,-103.88293,Chalchihuites
19.26174,-98.89775,Chalco de Díaz Covarrubias
21.31444,-98.79194,Chalchocoyo
19.34441,-90.72576,Champotón
16.78416,-92.68959,Chamula
16.71667,-92.4,Chanal
16.6575,-92.2575,Chanal
18.27306,-100.58528,Changata
20.29616,-103.19123,Chapala
21.15731,-98.90361,Chapulhuacán
18.63536,-97.40006,Chapuco
23.12799,-101.11414,Charcas
19.20216,-99.56176,Chapultepec
19.65112,-102.2519,Charapán
23.86306,-103.6575,Charco Blanco
19.74737,-101.045,Charo
20.00592,-102.45962,Chavínda
21.26967,-89.74006,Chelem
20.65613,-87.9364,Chemax
19.68536,-101.95368,Cherán
18.51413,-88.30381,Chetumal
16.7077,-93.01184,Chiapa de Corzo
16.56975,-92.72037,Chiapilla
19.30633,-98.21773,Chiautempan
19.54895,-98.88236,Chiautla
18.30149,-98.60339,Chiautla de Tapia
20.1425,-97.94556,Chicahuaxtla
20.66667,-88.56667,Chichén-Itzá
17.65902,-99.67624,Chichihualco
20.63176,-88.21689,Chichimila
15.74405,-92.28598,Chicomuselo
19.20073,-97.06691,Chichiquila
19.55939,-98.89884,Chiconcuac
21.13617,-89.51625,Chicxulub Pueblo
20.97214,-98.17239,Chicontepec de Tejada
18.52028,-98.57889,Chietla
28.63528,-106.08889,Chihuahua
19.83866,-98.03171,Chignahuapan
18.78278,-99.20722,Chiconcuac
20.33436,-88.4863,Chikindzonot
17.59459,-99.17639,Chilapa de Alvarez
19.84654,-102.11716,Chilchota
21.13444,-98.43556,Chililico
17.23333,-92.41667,Chilón
17.5506,-99.50578,Chilpancingo de los Bravos
25.69997,-99.23454,China
18.02195,-94.67945,Chinameca
19.76993,-90.49595,China
21.35959,-97.73484,Chinampa de Gorostiza
19.81996,-97.38859,Chinautla
20.2,-103.81667,Chiquilistlán
19.00611,-98.33056,Chipilo de Francisco Javier Mina
26.70901,-108.32545,Choix
20.75087,-89.83041,Chochola
19.01214,-97.03291,Chocaman
21.01078,-89.29147,Cholul Cantón
17.66614,-93.48115,Chontalpa
19.06406,-98.30352,Cholula
19.58533,-88.5922,Chunhuhub
20.15056,-102.06469,Churintzio
18.66333,-101.64741,Churumuco de Morelos
25.95488,-100.16742,Ciénega de Flores
16.68393,-93.71814,Cintalapa de Figueroa
29.32322,-100.95217,Ciudad Acuña
19.2366,-104.56512,Cihuatlán
18.3582,-100.66965,Ciudad Altamirano
18.76694,-98.98222,Ciudad Ayala
27.24457,-100.13229,Ciudad Anáhuac
27.67842,-105.17136,Ciudad Camargo
32.19556,-115.0025,Ciudad Coahuila (Kilómetro Cincuenta y Siete)
25.0321,-111.66256,Ciudad Constitución
18.3,-98.60389,Ciudad de Chiautla de Tapia
20.01861,-97.52111,Ciudad de Cuetzalan
18.30111,-99.33111,Ciudad de Huitzuco
17.80787,-97.77956,Ciudad de Huajuapan de León
20.01766,-97.52277,Ciudad de Cuetzalan
19.49241,-98.53526,Ciudad de Nanacamilpa
19.26722,-103.73778,Ciudad de Villa de Álvarez
18.64592,-91.82991,Ciudad del Carmen
19.85278,-97.49528,Ciudad de Tlatlauquitepec
22.40187,-99.60468,Ciudad del Maiz
28.19013,-105.47012,Ciudad Delicias
26.23186,-98.5956,Ciudad Díaz Ordaz
21.94037,-100.0117,Ciudad Fernández
26.92814,-101.45212,Ciudad Frontera
19.70466,-103.4617,Ciudad Guzmán
25.26318,-111.77547,Ciudad Insurgentes
19.69229,-100.55739,"Ciudad Hidalgo, Michoacán"
31.73333,-106.48333,Ciudad Juárez
25.53718,-103.52456,Ciudad Lerdo
19.58547,-99.26035,Ciudad López Mateos
17.97066,-102.22124,Ciudad Lázaro Cárdenas
22.27228,-97.83623,Ciudad Madero
22.74304,-98.9739,Ciudad Mante
20.72882,-101.95243,Ciudad Manuel Doblado
26.39952,-99.02836,Ciudad Miguel Alemán
18.80615,-97.17777,Ciudad Mendoza
19.40061,-99.01483,Ciudad Nezahualcoyotl
27.48642,-109.94083,Ciudad Obregón
17.88358,-92.48489,Ciudad Pemex
27.85591,-101.11738,Ciudad Sabinas
19.77557,-98.57471,Ciudad Sahagun
21.98333,-99.01667,Ciudad Valles
18.9894,-97.44702,Ciudad Serdán
23.74174,-99.14599,Ciudad Victoria
17.93611,-94.66667,Coacotla
19.63453,-99.1005,Coacalco
19.65163,-96.94043,Coacotzintla
18.75119,-103.66798,Coahuayana Viejo
19.80556,-97.41028,Coahuixco
17.13137,-93.15946,Coapilla
18.7775,-103.16,Coalcomán de Vázquez Pallares
18.89492,-99.72153,Coatepec Harinas
19.45229,-96.96148,Coatepec
18.7302,-99.32707,Coatetelco
18.13346,-94.44242,Coatzacoalcos
20.48699,-97.46823,Coatzintla
27.57519,-109.9591,Cocorit
19.23336,-98.86596,Cocotitlan
18.88417,-98.98194,Cocoyoc
18.24116,-99.66202,Cocula
20.36517,-103.82215,Cocula
19.82195,-101.5847,Coeneo de la Libertad
19.43333,-103.55,Cofradía
20.11858,-102.85182,Cojumatlán de Régules
19.24997,-103.72714,Colima
20.07833,-98.72667,Colinas de Plata
20.62361,-100.46667,Colinas de Santa Cruz Segunda Sección
25.81705,-100.10258,Colinas del Aeropuerto
20.50417,-103.39833,Colinas del Roble
20.78323,-100.05149,Colón
25.10972,-107.94472,Colonia Agrícola México (Palmitas)
19.70056,-99.11667,Colonia 2 de Septiembre
19.39111,-99.52528,Colonia Emiliano Zapata
19.58389,-98.99139,Colonia el Salado
19.42139,-99.01361,Colonia Gustavo Baz Prada
16.20967,-95.02722,Colonia Juárez
21.36167,-97.69306,Colonia las Flores
19.69083,-99.06417,Colonia la Asunción
19.63167,-99.15333,Colonia Lázaro Cárdenas (Los Hornos)
30.70167,-116.00278,Colonia Lomas de San Ramón (Triquis)
17.96306,-94.9025,Colonia Lealtad
20.53523,-100.48828,Colonia los Ángeles
19.31167,-99.54111,Colonia los Cedros
30.50667,-115.9225,Colonia Nueva Era
16.80111,-95.07972,Colonia Progreso
19.63778,-99.33917,Colonia Morelos
28.24167,-105.44361,Colonia Revolución
20.98475,-101.48502,Colonia Nuevo México
16.88678,-95.04731,Colonia Rincón Viejo
20.93556,-100.73611,Colonia San Luis Rey
21.2525,-102.35139,Colonia Santa Cecilia (La Sauceda)
19.50191,-96.87817,Colonia Santa Bárbara
19.845,-99.23333,Colonia Santa Teresa
20.19291,-99.17866,Colonia Teñhe
28.63861,-100.55667,Colonia Venustiano Carranza
19.40005,-98.05822,Colonia Venustiano Carranza
19.49083,-101.59389,Colonia Vista Bella (Lomas del Peaje)
20.04583,-97.05139,Colonias Pedernales
19.17829,-100.21817,Colorines
17.06667,-99.28333,Colotepec
19.17639,-100.21639,Colorines
19.57132,-101.90433,Comachuén
22.11299,-103.26707,Colotlán
19.32717,-103.75926,Comala
16.24471,-92.13425,Comitán
18.26316,-93.22397,Comalcalco
20.72278,-100.75946,Comonfort
21.23777,-104.9001,Compostela
18.40684,-95.17415,Comoapan
24.61326,-101.41844,Concepcion del Oro
19.09444,-98.06139,Concepción Capulac (La Ex-Hacienda)
25.77982,-103.11696,Concordia
19.97822,-103.25981,Concepción de Buenos Aires
23.28694,-106.06389,Concordia
28.25375,-105.51922,Congregación Ortíz
19.36889,-99.77861,Conjunto Habitacional Ecológico SUTEYM
19.68361,-101.30361,Conjunto Habitacional Villas del Pedregal
21.07365,-89.51995,Conkal
17.09366,-93.21059,Copainalá
19.95432,-100.16385,Contepec
19.32639,-99.73194,Conjunto Urbano la Loma I
18.03427,-99.04124,Copalillo
16.60774,-98.97821,Copala
17.46417,-98.7125,Copanatoyac
19.20625,-103.80952,Coquimatlán
19.89278,-101.21362,Copándaro de Galeana
16.71191,-93.12089,Copoya
18.8842,-96.92559,Córdoba
18.90861,-96.97889,Córdoba (Santa Leticia)
21.95028,-102.33222,Corral de Barrancos
18.11461,-95.11542,Corral Nuevo
24.41501,-106.69073,Cosalá
20.20001,-100.36546,Coroneo
20.48008,-100.96067,Cortazar
19.33196,-96.9903,Cosautlán de Carvajal
18.36759,-95.79857,Cosamaloapan de Carpio
22.35,-102.3,Cosío
18.60055,-96.68524,Cosolapa
18.60194,-96.68278,Cosolapa
19.80922,-102.70198,Cotija de la Paz
17.99794,-94.63542,Cosoleacaque
18.26682,-97.14996,Coxcatlán
20.18398,-97.58568,Coxquihui
25.6951,-103.2842,Coyote
19.3467,-99.16174,Coyoacán
19.77722,-99.21295,Coyotepec
17.00895,-100.08714,Coyuca de Benítez
18.32614,-100.69898,Coyuca de Catalán
20.2472,-97.65824,Coyutla
20.63333,-103.2,Coyula
21.32111,-101.97333,Cristeros [Fraccionamiento]
27.75054,-107.6352,Creel
16.35,-93.53333,Cristóbal Obregón
16.43246,-93.45689,Cristóbal Obregón
15.76889,-96.135,Crucecita
16.72241,-99.12356,Cruz Grande
18.81699,-97.51017,Cuacnopalan
19.35993,-99.29388,Cuajimalpa
19.48485,-101.50794,Cuanajo
16.47347,-98.41389,Cuajinicuilapa de Santa Maria
19.2968,-97.76917,Cuapiaxtla
19.10905,-98.32848,Cuanalá
18.91462,-97.82031,Cuapiaxtla de Madero
20.62194,-101.28001,Cuarta Brigada
22.54408,-98.15074,Cuauhtémoc
28.40884,-106.86319,Cuauhtémoc
19.44506,-99.14612,Cuauhtémoc
19.32861,-103.60284,Cuauhtémoc
16.75004,-99.0024,Cuautepec
27.43333,-110.01667,Cuauhtémoc (Campo Cinco)
20.03557,-98.31015,Cuautepec de Hinojosa
19.67029,-99.17865,Cuautitlán
19.64388,-99.21598,Cuautitlán Izcalli
19.08912,-98.27137,Cuautlancingo
18.80459,-98.94555,Cuautla Morelos
18.87642,-97.02171,Cuautlapan
20.66092,-101.46203,Cuchicuato
20.62498,-101.67201,Cuerámaro
24.87116,-103.69731,Cuencamé
18.9261,-99.23075,Cuernavaca
17.80272,-96.95939,Cuicatlan
17.93889,-94.28,Cuichapa
18.77223,-96.8698,Cuichapa
18.8138,-96.72392,Cuitláhuac
16.97756,-96.78081,Cuilapan de Guerrero
20.34278,-102.78389,Cuitzeo (La Estancia)
19.96944,-101.14069,Cuitzeo del Porvenir
24.79032,-107.38782,Culiacán
24.82538,-107.53445,Culiacancito
29.99587,-109.78087,Cumpas
18.06557,-93.17302,Cunduacán
18.46783,-100.58089,Cutzamala de Pinzón
20.74202,-89.31732,Cuzama
20.46702,-102.14976,Degollado
32.35497,-115.19617,Delta
17.94167,-94.99806,Dehesa
19.2075,-96.27333,Delfino Victoria (Santa Fe)
23.67211,-100.18134,Doctor Arroyo
32.22756,-115.16792,Doctor Alberto Oviedo Mota
16.34611,-93.41667,Doctor Domingo Chanona
19.65528,-99.92639,Dolores Hidalgo
21.1425,-100.31906,Doctor Mora
21.15611,-100.9325,Dolores Hidalgo Cuna de la Independencia Nacional
19.14064,-98.45751,Domingo Arenas
19.87444,-98.93472,Don Antonio
20.09169,-99.24362,Doxey
21.087,-101.5237,Duarte
20.38888,-89.46855,Dzan
23.00175,-102.17405,Dulce Grande
21.21036,-89.30956,Dzemul
21.24898,-89.04205,Dzidzantun
21.28098,-88.92957,Dzilam González
20.84089,-88.52908,Dzitás
20.31857,-90.05611,Dzitbalché
19.61725,-99.06601,Ecatepec
20.16188,-102.1934,Ecuandureo
18.95508,-98.75198,Ecatzingo de Hidalgo
29.68333,-108.26667,Ejido El Largo
30.14937,-106.88362,Ejido Benito Juárez
19.30139,-99.75028,Ejido San Lorenzo Cuauhtenco
25.35091,-102.95698,Ejido Venustiano Carranza
20.22139,-98.91222,El Arenal
16.56623,-96.73123,Ejutla de Crespo
16.09639,-92.83333,El Ámbar (El Ámbar de Echeverría)
17.06273,-92.72147,El Bosque
20.25972,-98.97417,El Boxtha
25.53878,-108.41286,El Burrión
25.64028,-103.325,El Cambio
27.47306,-99.62,El Campanario y Oradel
19.22972,-98.21944,El Carmen Aztama
19.32426,-97.6535,El Carmen Tequesquitla
24.01416,-106.85196,El Carrizo
24.1025,-110.41444,El Centenario
20.30222,-99.87067,El Cazadero
19.54661,-96.86425,El Castillo
17.6381,-101.47571,El Coacoyul
19.32337,-99.5425,El Cerrillo Vista Hermosa
20.40167,-97.34389,El Chote
19.06101,-104.25853,El Colomo
20.56185,-100.2452,El Colorado
25.95867,-97.81281,El Control
19.28306,-99.83528,El Cóporo
24.72389,-107.45194,El Diez
20.38317,-103.86131,El Crucero de Santa María
24.32283,-107.36298,El Dorado
16.48472,-95.04167,El Espinal
16.36862,-94.10449,El Espinal
26.41686,-108.61828,El Fuerte de Montes Claros
19.80603,-104.21805,El Grullo
19.42583,-99.35556,El Hielo
21.76708,-98.45186,El Higo
25.52,-103.48667,El Huarache (El Guarache)
20.23444,-98.96222,El Huaxtho
20.07569,-98.81972,El Huixmí
17.41491,-92.40293,El Limar
19.82546,-104.15633,El Limón
24.91361,-107.52333,El Limón de los Ramos
20.06537,-99.31976,El Llano
17.24621,-99.51646,El Ocotito
21.94389,-102.32278,El Llano
32.5075,-116.79194,El Niño
